U+2A6D7	𪛗
U+30714	𰜔
U+30715	𰜕
U+30717	𰜗
U+30718	𰜘
U+3071C	𰜜
U+3071D	𰜝
U+3071F	𰜟
U+30720	𰜠
U+30721	𰜡
U+30722	𰜢
U+30723	𰜣
U+30725	𰜥
U+30728	𰜨
U+30729	𰜩
U+3072D	𰜭
U+3072E	𰜮
U+30730	𰜰
U+30733	𰜳
U+30734	𰜴
U+30736	𰜶
U+30737	𰜷
U+3073A	𰜺
U+3073D	𰜽
U+30740	𰝀
U+30741	𰝁
U+30742	𰝂
U+30745	𰝅
U+30746	𰝆
U+30749	𰝉
U+3074B	𰝋
U+3074C	𰝌
U+3074D	𰝍
U+3074E	𰝎
U+30751	𰝑
U+30752	𰝒
U+30753	𰝓
U+30754	𰝔
U+30755	𰝕
U+30756	𰝖
U+30757	𰝗
U+30758	𰝘
U+30759	𰝙
U+3075C	𰝜
U+3075E	𰝞
U+3075F	𰝟
U+30760	𰝠
U+30761	𰝡
U+30762	𰝢
U+30764	𰝤
U+30765	𰝥
U+3076A	𰝪
U+3076B	𰝫
U+3076C	𰝬
U+30776	𰝶
U+3077A	𰝺
U+3077B	𰝻
U+3077D	𰝽
U+3077E	𰝾
U+3077F	𰝿
U+30780	𰞀
U+30782	𰞂
U+30783	𰞃
U+30785	𰞅
U+30787	𰞇
U+30789	𰞉
U+3078B	𰞋
U+3078D	𰞍
U+3078F	𰞏
U+30790	𰞐
U+30791	𰞑
U+30792	𰞒
U+30793	𰞓
U+30794	𰞔
U+30797	𰞗
U+30798	𰞘
U+30799	𰞙
U+3079A	𰞚
U+3079C	𰞜
U+3079D	𰞝
U+307A0	𰞠
U+307A1	𰞡
U+307A4	𰞤
U+307A9	𰞩
U+307AB	𰞫
U+307AC	𰞬
U+307AE	𰞮
U+307AF	𰞯
U+307B0	𰞰
U+307B1	𰞱
U+307B2	𰞲
U+307B3	𰞳
U+307B4	𰞴
U+307B6	𰞶
U+307B7	𰞷
U+307B8	𰞸
U+307BB	𰞻
U+307BE	𰞾
U+307BF	𰞿
U+307C0	𰟀
U+307C1	𰟁
U+307C4	𰟄
U+307C5	𰟅
U+307C6	𰟆
U+307CA	𰟊
U+307CD	𰟍
U+307CE	𰟎
U+307CF	𰟏
U+307D0	𰟐
U+307D4	𰟔
U+307D5	𰟕
U+307D6	𰟖
U+307D8	𰟘
U+307D9	𰟙
U+307DA	𰟚
U+307DE	𰟞
U+307E2	𰟢
U+307E3	𰟣
U+307E7	𰟧
U+307E8	𰟨
U+307EA	𰟪
U+307EB	𰟫
U+307ED	𰟭
U+307EE	𰟮
U+307F1	𰟱
U+307F3	𰟳
U+307F4	𰟴
U+307F6	𰟶
U+307F7	𰟷
U+307F8	𰟸
U+307FA	𰟺
U+307FC	𰟼
U+307FE	𰟾
U+30800	𰠀
U+30803	𰠃
U+30804	𰠄
U+30805	𰠅
U+3080A	𰠊
U+3080B	𰠋
U+3080C	𰠌
U+3080D	𰠍
U+3080F	𰠏
U+30811	𰠑
U+30813	𰠓
U+30814	𰠔
U+30817	𰠗
U+3081B	𰠛
U+3081C	𰠜
U+3081D	𰠝
U+3081E	𰠞
U+30820	𰠠
U+30822	𰠢
U+30823	𰠣
U+30824	𰠤
U+30827	𰠧
U+30828	𰠨
U+3082A	𰠪
U+3082B	𰠫
U+3082C	𰠬
U+3082D	𰠭
U+3082F	𰠯
U+30830	𰠰
U+30831	𰠱
U+30832	𰠲
U+30834	𰠴
U+30835	𰠵
U+30838	𰠸
U+30839	𰠹
U+3083B	𰠻
U+3083E	𰠾
U+3083F	𰠿
U+30840	𰡀
U+30841	𰡁
U+30842	𰡂
U+30843	𰡃
U+30844	𰡄
U+30846	𰡆
U+30847	𰡇
U+30849	𰡉
U+3084A	𰡊
U+3084B	𰡋
U+3084C	𰡌
U+3084E	𰡎
U+3084F	𰡏
U+30850	𰡐
U+30851	𰡑
U+30852	𰡒
U+30853	𰡓
U+30854	𰡔
U+30857	𰡗
U+30858	𰡘
U+3085A	𰡚
U+3085B	𰡛
U+3085C	𰡜
U+3085E	𰡞
U+3085F	𰡟
U+30860	𰡠
U+30862	𰡢
U+30865	𰡥
U+30867	𰡧
U+30869	𰡩
U+3086B	𰡫
U+3086C	𰡬
U+3086E	𰡮
U+3086F	𰡯
U+30870	𰡰
U+30875	𰡵
U+30876	𰡶
U+30879	𰡹
U+3087B	𰡻
U+3087C	𰡼
U+3087D	𰡽
U+30883	𰢃
U+30884	𰢄
U+30885	𰢅
U+30889	𰢉
U+3088A	𰢊
U+3088B	𰢋
U+3088E	𰢎
U+3088F	𰢏
U+30891	𰢑
U+30895	𰢕
U+30899	𰢙
U+3089A	𰢚
U+3089D	𰢝
U+3089E	𰢞
U+308A0	𰢠
U+308A2	𰢢
U+308A4	𰢤
U+308A5	𰢥
U+308A6	𰢦
U+308A7	𰢧
U+308A8	𰢨
U+308A9	𰢩
U+308AA	𰢪
U+308AB	𰢫
U+308AC	𰢬
U+308AD	𰢭
U+308AE	𰢮
U+308AF	𰢯
U+308B0	𰢰
U+308B1	𰢱
U+308B2	𰢲
U+308B4	𰢴
U+308B5	𰢵
U+308B7	𰢷
U+308B8	𰢸
U+308BE	𰢾
U+308C2	𰣂
U+308C3	𰣃
U+308C4	𰣄
U+308C5	𰣅
U+308C6	𰣆
U+308C7	𰣇
U+308CA	𰣊
U+308CB	𰣋
U+308CC	𰣌
U+308CD	𰣍
U+308D2	𰣒
U+308D4	𰣔
U+308D6	𰣖
U+308D8	𰣘
U+308DA	𰣚
U+308DB	𰣛
U+308DE	𰣞
U+308E2	𰣢
U+308E4	𰣤
U+308E6	𰣦
U+308E8	𰣨
U+308E9	𰣩
U+308EB	𰣫
U+308EC	𰣬
U+308ED	𰣭
U+308EE	𰣮
U+308EF	𰣯
U+308F2	𰣲
U+308F6	𰣶
U+308F7	𰣷
U+308F8	𰣸
U+308FA	𰣺
U+308FB	𰣻
U+308FC	𰣼
U+308FD	𰣽
U+30901	𰤁
U+30902	𰤂
U+30905	𰤅
U+30906	𰤆
U+3090B	𰤋
U+3090D	𰤍
U+30911	𰤑
U+30912	𰤒
U+30913	𰤓
U+30914	𰤔
U+30915	𰤕
U+30918	𰤘
U+30919	𰤙
U+3091C	𰤜
U+3091E	𰤞
U+3091F	𰤟
U+30920	𰤠
U+30922	𰤢
U+30924	𰤤
U+30925	𰤥
U+30927	𰤧
U+30928	𰤨
U+30929	𰤩
U+3092B	𰤫
U+3092C	𰤬
U+30931	𰤱
U+30932	𰤲
U+30933	𰤳
U+30935	𰤵
U+30937	𰤷
U+30939	𰤹
U+3093A	𰤺
U+3093B	𰤻
U+3093D	𰤽
U+30941	𰥁
U+30942	𰥂
U+30943	𰥃
U+30944	𰥄
U+30946	𰥆
U+30947	𰥇
U+30949	𰥉
U+3094A	𰥊
U+3094B	𰥋
U+3094C	𰥌
U+3094D	𰥍
U+3094E	𰥎
U+3094F	𰥏
U+30950	𰥐
U+30952	𰥒
U+30953	𰥓
U+30954	𰥔
U+30955	𰥕
U+3095B	𰥛
U+3095C	𰥜
U+3095E	𰥞
U+3095F	𰥟
U+30960	𰥠
U+30961	𰥡
U+30962	𰥢
U+30963	𰥣
U+30966	𰥦
U+30968	𰥨
U+30969	𰥩
U+3096A	𰥪
U+3096D	𰥭
U+3096E	𰥮
U+30970	𰥰
U+30973	𰥳
U+30975	𰥵
U+30976	𰥶
U+30977	𰥷
U+30978	𰥸
U+30979	𰥹
U+3097B	𰥻
U+3097C	𰥼
U+3097D	𰥽
U+30980	𰦀
U+30985	𰦅
U+30988	𰦈
U+3098B	𰦋
U+3098C	𰦌
U+3098F	𰦏
U+30990	𰦐
U+30991	𰦑
U+30992	𰦒
U+30993	𰦓
U+30994	𰦔
U+30996	𰦖
U+30997	𰦗
U+3099C	𰦜
U+3099D	𰦝
U+309A0	𰦠
U+309A2	𰦢
U+309A3	𰦣
U+309A5	𰦥
U+309A6	𰦦
U+309A7	𰦧
U+309A8	𰦨
U+309A9	𰦩
U+309AA	𰦪
U+309AB	𰦫
U+309AC	𰦬
U+309AD	𰦭
U+309AE	𰦮
U+309AF	𰦯
U+309B0	𰦰
U+309B2	𰦲
U+309B3	𰦳
U+309B4	𰦴
U+309B5	𰦵
U+309B6	𰦶
U+309B7	𰦷
U+309B9	𰦹
U+309BA	𰦺
U+309BD	𰦽
U+309BE	𰦾
U+309BF	𰦿
U+309C0	𰧀
U+309C1	𰧁
U+309C3	𰧃
U+309C4	𰧄
U+309C6	𰧆
U+309C7	𰧇
U+309C8	𰧈
U+309C9	𰧉
U+309CA	𰧊
U+309CC	𰧌
U+309CE	𰧎
U+309D0	𰧐
U+309D1	𰧑
U+309D2	𰧒
U+309D3	𰧓
U+309D4	𰧔
U+309D6	𰧖
U+309D8	𰧘
U+309D9	𰧙
U+309DA	𰧚
U+309DB	𰧛
U+309DD	𰧝
U+309DE	𰧞
U+309DF	𰧟
U+309E1	𰧡
U+309E2	𰧢
U+309E3	𰧣
U+309E5	𰧥
U+309E6	𰧦
U+309E7	𰧧
U+309EA	𰧪
U+309EB	𰧫
U+309ED	𰧭
U+309EE	𰧮
U+309F0	𰧰
U+309F1	𰧱
U+309F2	𰧲
U+309F8	𰧸
U+309FB	𰧻
U+309FE	𰧾
U+30A00	𰨀
U+30A01	𰨁
U+30A02	𰨂
U+30A04	𰨄
U+30A07	𰨇
U+30A0C	𰨌
U+30A13	𰨓
U+30A14	𰨔
U+30A16	𰨖
U+30A18	𰨘
U+30A19	𰨙
U+30A1A	𰨚
U+30A1B	𰨛
U+30A1C	𰨜
U+30A1D	𰨝
U+30A1E	𰨞
U+30A20	𰨠
U+30A21	𰨡
U+30A22	𰨢
U+30A25	𰨥
U+30A26	𰨦
U+30A27	𰨧
U+30A28	𰨨
U+30A29	𰨩
U+30A2A	𰨪
U+30A2B	𰨫
U+30A2C	𰨬
U+30A2D	𰨭
U+30A2F	𰨯
U+30A33	𰨳
U+30A35	𰨵
U+30A37	𰨷
U+30A3D	𰨽
U+30A41	𰩁
U+30A44	𰩄
U+30A45	𰩅
U+30A47	𰩇
U+30A48	𰩈
U+30A4B	𰩋
U+30A4C	𰩌
U+30A4D	𰩍
U+30A4F	𰩏
U+30A52	𰩒
U+30A53	𰩓
U+30A60	𰩠
U+30A61	𰩡
U+30A62	𰩢
U+30A67	𰩧
U+30A68	𰩨
U+30A69	𰩩
U+30A6A	𰩪
U+30A6B	𰩫
U+30A6C	𰩬
U+30A6D	𰩭
U+30A6E	𰩮
U+30A6F	𰩯
U+30A70	𰩰
U+30A71	𰩱
U+30A72	𰩲
U+30A73	𰩳
U+30A75	𰩵
U+30A76	𰩶
U+30A78	𰩸
U+30A79	𰩹
U+30A7A	𰩺
U+30A7B	𰩻
U+30A7C	𰩼
U+30A7F	𰩿
U+30A80	𰪀
U+30A82	𰪂
U+30A83	𰪃
U+30A84	𰪄
U+30A86	𰪆
U+30A87	𰪇
U+30A89	𰪉
U+30A8A	𰪊
U+30A8B	𰪋
U+30A8E	𰪎
U+30A8F	𰪏
U+30A92	𰪒
U+30A94	𰪔
U+30A96	𰪖
U+30A9B	𰪛
U+30A9E	𰪞
U+30AA0	𰪠
U+30AA2	𰪢
U+30AA3	𰪣
U+30AA4	𰪤
U+30AA5	𰪥
U+30AA9	𰪩
U+30AAA	𰪪
U+30AAB	𰪫
U+30AAC	𰪬
U+30AAD	𰪭
U+30AAE	𰪮
U+30AAF	𰪯
U+30AB1	𰪱
U+30AB3	𰪳
U+30AB6	𰪶
U+30ABA	𰪺
U+30ABB	𰪻
U+30ABC	𰪼
U+30ABE	𰪾
U+30ABF	𰪿
U+30AC0	𰫀
U+30AC4	𰫄
U+30AC5	𰫅
U+30AC6	𰫆
U+30AC7	𰫇
U+30AC9	𰫉
U+30ACB	𰫋
U+30ACE	𰫎
U+30ACF	𰫏
U+30AD0	𰫐
U+30AD1	𰫑
U+30AD2	𰫒
U+30AD3	𰫓
U+30AD5	𰫕
U+30AD6	𰫖
U+30AD7	𰫗
U+30AD8	𰫘
U+30AD9	𰫙
U+30ADB	𰫛
U+30ADD	𰫝
U+30ADE	𰫞
U+30ADF	𰫟
U+30AE0	𰫠
U+30AE1	𰫡
U+30AE2	𰫢
U+30AE3	𰫣
U+30AE4	𰫤
U+30AE5	𰫥
U+30AE6	𰫦
U+30AE7	𰫧
U+30AE8	𰫨
U+30AE9	𰫩
U+30AEA	𰫪
U+30AEB	𰫫
U+30AED	𰫭
U+30AF2	𰫲
U+30AF3	𰫳
U+30AF6	𰫶
U+30AF7	𰫷
U+30AFC	𰫼
U+30AFD	𰫽
U+30AFE	𰫾
U+30AFF	𰫿
U+30B00	𰬀
U+30B01	𰬁
U+30B02	𰬂
U+30B03	𰬃
U+30B04	𰬄
U+30B05	𰬅
U+30B06	𰬆
U+30B07	𰬇
U+30B08	𰬈
U+30B09	𰬉
U+30B0A	𰬊
U+30B0B	𰬋
U+30B0C	𰬌
U+30B0D	𰬍
U+30B0E	𰬎
U+30B0F	𰬏
U+30B10	𰬐
U+30B11	𰬑
U+30B12	𰬒
U+30B13	𰬓
U+30B14	𰬔
U+30B15	𰬕
U+30B16	𰬖
U+30B17	𰬗
U+30B18	𰬘
U+30B19	𰬙
U+30B1A	𰬚
U+30B1B	𰬛
U+30B1C	𰬜
U+30B1D	𰬝
U+30B1E	𰬞
U+30B1F	𰬟
U+30B20	𰬠
U+30B21	𰬡
U+30B22	𰬢
U+30B23	𰬣
U+30B24	𰬤
U+30B25	𰬥
U+30B26	𰬦
U+30B27	𰬧
U+30B28	𰬨
U+30B29	𰬩
U+30B2A	𰬪
U+30B2B	𰬫
U+30B2C	𰬬
U+30B2D	𰬭
U+30B2E	𰬮
U+30B2F	𰬯
U+30B30	𰬰
U+30B31	𰬱
U+30B32	𰬲
U+30B33	𰬳
U+30B34	𰬴
U+30B35	𰬵
U+30B36	𰬶
U+30B37	𰬷
U+30B38	𰬸
U+30B39	𰬹
U+30B3A	𰬺
U+30B3B	𰬻
U+30B3C	𰬼
U+30B3D	𰬽
U+30B3E	𰬾
U+30B3F	𰬿
U+30B40	𰭀
U+30B41	𰭁
U+30B42	𰭂
U+30B43	𰭃
U+30B44	𰭄
U+30B45	𰭅
U+30B46	𰭆
U+30B47	𰭇
U+30B48	𰭈
U+30B4B	𰭋
U+30B4C	𰭌
U+30B4D	𰭍
U+30B4E	𰭎
U+30B51	𰭑
U+30B54	𰭔
U+30B55	𰭕
U+30B56	𰭖
U+30B57	𰭗
U+30B5A	𰭚
U+30B5B	𰭛
U+30B5C	𰭜
U+30B5D	𰭝
U+30B5E	𰭞
U+30B62	𰭢
U+30B63	𰭣
U+30B66	𰭦
U+30B67	𰭧
U+30B69	𰭩
U+30B6A	𰭪
U+30B6C	𰭬
U+30B6F	𰭯
U+30B71	𰭱
U+30B73	𰭳
U+30B74	𰭴
U+30B75	𰭵
U+30B77	𰭷
U+30B79	𰭹
U+30B7F	𰭿
U+30B81	𰮁
U+30B83	𰮃
U+30B84	𰮄
U+30B85	𰮅
U+30B87	𰮇
U+30B8A	𰮊
U+30B8B	𰮋
U+30B8D	𰮍
U+30B90	𰮐
U+30B92	𰮒
U+30B95	𰮕
U+30B97	𰮗
U+30B99	𰮙
U+30B9A	𰮚
U+30B9D	𰮝
U+30BA4	𰮤
U+30BA5	𰮥
U+30BA6	𰮦
U+30BA9	𰮩
U+30BAA	𰮪
U+30BAB	𰮫
U+30BAD	𰮭
U+30BAE	𰮮
U+30BB0	𰮰
U+30BB2	𰮲
U+30BB3	𰮳
U+30BB4	𰮴
U+30BB6	𰮶
U+30BB7	𰮷
U+30BB8	𰮸
U+30BB9	𰮹
U+30BBC	𰮼
U+30BBD	𰮽
U+30BBE	𰮾
U+30BC0	𰯀
U+30BC2	𰯂
U+30BC5	𰯅
U+30BC7	𰯇
U+30BC9	𰯉
U+30BCB	𰯋
U+30BCC	𰯌
U+30BCE	𰯎
U+30BD0	𰯐
U+30BD4	𰯔
U+30BD5	𰯕
U+30BD6	𰯖
U+30BD9	𰯙
U+30BDA	𰯚
U+30BDB	𰯛
U+30BDF	𰯟
U+30BE1	𰯡
U+30BE4	𰯤
U+30BE8	𰯨
U+30BE9	𰯩
U+30BEB	𰯫
U+30BEC	𰯬
U+30BED	𰯭
U+30BEE	𰯮
U+30BEF	𰯯
U+30BF0	𰯰
U+30BF2	𰯲
U+30BF4	𰯴
U+30BF5	𰯵
U+30BF6	𰯶
U+30BFC	𰯼
U+30BFD	𰯽
U+30C00	𰰀
U+30C01	𰰁
U+30C02	𰰂
U+30C03	𰰃
U+30C04	𰰄
U+30C05	𰰅
U+30C06	𰰆
U+30C07	𰰇
U+30C08	𰰈
U+30C09	𰰉
U+30C0B	𰰋
U+30C0C	𰰌
U+30C0D	𰰍
U+30C0E	𰰎
U+30C0F	𰰏
U+30C11	𰰑
U+30C12	𰰒
U+30C14	𰰔
U+30C15	𰰕
U+30C16	𰰖
U+30C17	𰰗
U+30C19	𰰙
U+30C1A	𰰚
U+30C1B	𰰛
U+30C1C	𰰜
U+30C1D	𰰝
U+30C1E	𰰞
U+30C1F	𰰟
U+30C20	𰰠
U+30C21	𰰡
U+30C22	𰰢
U+30C24	𰰤
U+30C28	𰰨
U+30C29	𰰩
U+30C2A	𰰪
U+30C2B	𰰫
U+30C2C	𰰬
U+30C2E	𰰮
U+30C2F	𰰯
U+30C31	𰰱
U+30C33	𰰳
U+30C34	𰰴
U+30C35	𰰵
U+30C36	𰰶
U+30C37	𰰷
U+30C39	𰰹
U+30C3A	𰰺
U+30C3B	𰰻
U+30C3E	𰰾
U+30C3F	𰰿
U+30C40	𰱀
U+30C42	𰱂
U+30C43	𰱃
U+30C45	𰱅
U+30C47	𰱇
U+30C48	𰱈
U+30C49	𰱉
U+30C4A	𰱊
U+30C4B	𰱋
U+30C4C	𰱌
U+30C4D	𰱍
U+30C50	𰱐
U+30C51	𰱑
U+30C53	𰱓
U+30C54	𰱔
U+30C55	𰱕
U+30C56	𰱖
U+30C57	𰱗
U+30C58	𰱘
U+30C59	𰱙
U+30C5A	𰱚
U+30C5B	𰱛
U+30C5D	𰱝
U+30C5F	𰱟
U+30C61	𰱡
U+30C62	𰱢
U+30C66	𰱦
U+30C67	𰱧
U+30C68	𰱨
U+30C69	𰱩
U+30C6A	𰱪
U+30C6C	𰱬
U+30C6E	𰱮
U+30C6F	𰱯
U+30C70	𰱰
U+30C71	𰱱
U+30C72	𰱲
U+30C76	𰱶
U+30C77	𰱷
U+30C78	𰱸
U+30C79	𰱹
U+30C7E	𰱾
U+30C81	𰲁
U+30C82	𰲂
U+30C84	𰲄
U+30C85	𰲅
U+30C86	𰲆
U+30C88	𰲈
U+30C89	𰲉
U+30C8A	𰲊
U+30C8D	𰲍
U+30C8F	𰲏
U+30C90	𰲐
U+30C92	𰲒
U+30C96	𰲖
U+30C98	𰲘
U+30C99	𰲙
U+30C9A	𰲚
U+30C9B	𰲛
U+30C9D	𰲝
U+30C9E	𰲞
U+30C9F	𰲟
U+30CA0	𰲠
U+30CA1	𰲡
U+30CA2	𰲢
U+30CA3	𰲣
U+30CA4	𰲤
U+30CA5	𰲥
U+30CA6	𰲦
U+30CA7	𰲧
U+30CA9	𰲩
U+30CAA	𰲪
U+30CAB	𰲫
U+30CAC	𰲬
U+30CAD	𰲭
U+30CAE	𰲮
U+30CAF	𰲯
U+30CB0	𰲰
U+30CB1	𰲱
U+30CB2	𰲲
U+30CB3	𰲳
U+30CB4	𰲴
U+30CB5	𰲵
U+30CB6	𰲶
U+30CB7	𰲷
U+30CB8	𰲸
U+30CB9	𰲹
U+30CBA	𰲺
U+30CBB	𰲻
U+30CBC	𰲼
U+30CBD	𰲽
U+30CBE	𰲾
U+30CBF	𰲿
U+30CC0	𰳀
U+30CC1	𰳁
U+30CC2	𰳂
U+30CC3	𰳃
U+30CC4	𰳄
U+30CC5	𰳅
U+30CC6	𰳆
U+30CC7	𰳇
U+30CC8	𰳈
U+30CC9	𰳉
U+30CCA	𰳊
U+30CCC	𰳌
U+30CCD	𰳍
U+30CCE	𰳎
U+30CCF	𰳏
U+30CD2	𰳒
U+30CD3	𰳓
U+30CD4	𰳔
U+30CD5	𰳕
U+30CD6	𰳖
U+30CD7	𰳗
U+30CD8	𰳘
U+30CD9	𰳙
U+30CDA	𰳚
U+30CDB	𰳛
U+30CDC	𰳜
U+30CDD	𰳝
U+30CDE	𰳞
U+30CDF	𰳟
U+30CE0	𰳠
U+30CE1	𰳡
U+30CE2	𰳢
U+30CE4	𰳤
U+30CE5	𰳥
U+30CE6	𰳦
U+30CE8	𰳨
U+30CEC	𰳬
U+30CED	𰳭
U+30CEE	𰳮
U+30CEF	𰳯
U+30CF0	𰳰
U+30CF1	𰳱
U+30CF2	𰳲
U+30CF5	𰳵
U+30CF6	𰳶
U+30CF7	𰳷
U+30CF8	𰳸
U+30CF9	𰳹
U+30CFA	𰳺
U+30CFB	𰳻
U+30CFC	𰳼
U+30CFD	𰳽
U+30D01	𰴁
U+30D02	𰴂
U+30D03	𰴃
U+30D06	𰴆
U+30D07	𰴇
U+30D08	𰴈
U+30D0A	𰴊
U+30D0D	𰴍
U+30D0F	𰴏
U+30D10	𰴐
U+30D11	𰴑
U+30D13	𰴓
U+30D15	𰴕
U+30D16	𰴖
U+30D17	𰴗
U+30D18	𰴘
U+30D19	𰴙
U+30D1A	𰴚
U+30D1B	𰴛
U+30D1C	𰴜
U+30D1D	𰴝
U+30D1E	𰴞
U+30D1F	𰴟
U+30D20	𰴠
U+30D21	𰴡
U+30D22	𰴢
U+30D23	𰴣
U+30D24	𰴤
U+30D25	𰴥
U+30D26	𰴦
U+30D27	𰴧
U+30D28	𰴨
U+30D29	𰴩
U+30D2A	𰴪
U+30D2D	𰴭
U+30D2E	𰴮
U+30D2F	𰴯
U+30D32	𰴲
U+30D34	𰴴
U+30D35	𰴵
U+30D37	𰴷
U+30D38	𰴸
U+30D39	𰴹
U+30D3A	𰴺
U+30D3B	𰴻
U+30D3D	𰴽
U+30D3F	𰴿
U+30D40	𰵀
U+30D42	𰵂
U+30D44	𰵄
U+30D46	𰵆
U+30D47	𰵇
U+30D48	𰵈
U+30D49	𰵉
U+30D4A	𰵊
U+30D4B	𰵋
U+30D4C	𰵌
U+30D4D	𰵍
U+30D4E	𰵎
U+30D4F	𰵏
U+30D50	𰵐
U+30D51	𰵑
U+30D52	𰵒
U+30D53	𰵓
U+30D54	𰵔
U+30D55	𰵕
U+30D56	𰵖
U+30D57	𰵗
U+30D58	𰵘
U+30D59	𰵙
U+30D5A	𰵚
U+30D5B	𰵛
U+30D5C	𰵜
U+30D5D	𰵝
U+30D5E	𰵞
U+30D5F	𰵟
U+30D60	𰵠
U+30D61	𰵡
U+30D62	𰵢
U+30D63	𰵣
U+30D64	𰵤
U+30D65	𰵥
U+30D66	𰵦
U+30D67	𰵧
U+30D68	𰵨
U+30D69	𰵩
U+30D6A	𰵪
U+30D6B	𰵫
U+30D6C	𰵬
U+30D6D	𰵭
U+30D6E	𰵮
U+30D6F	𰵯
U+30D70	𰵰
U+30D71	𰵱
U+30D72	𰵲
U+30D73	𰵳
U+30D74	𰵴
U+30D75	𰵵
U+30D76	𰵶
U+30D77	𰵷
U+30D78	𰵸
U+30D79	𰵹
U+30D7A	𰵺
U+30D7B	𰵻
U+30D7C	𰵼
U+30D7D	𰵽
U+30D7E	𰵾
U+30D7F	𰵿
U+30D80	𰶀
U+30D81	𰶁
U+30D82	𰶂
U+30D83	𰶃
U+30D84	𰶄
U+30D85	𰶅
U+30D86	𰶆
U+30D87	𰶇
U+30D88	𰶈
U+30D89	𰶉
U+30D8A	𰶊
U+30D8B	𰶋
U+30D8C	𰶌
U+30D8D	𰶍
U+30D8E	𰶎
U+30D8F	𰶏
U+30D91	𰶑
U+30D92	𰶒
U+30D94	𰶔
U+30D96	𰶖
U+30D97	𰶗
U+30D9C	𰶜
U+30D9F	𰶟
U+30DA1	𰶡
U+30DA4	𰶤
U+30DA5	𰶥
U+30DA6	𰶦
U+30DA8	𰶨
U+30DAA	𰶪
U+30DAB	𰶫
U+30DAC	𰶬
U+30DAD	𰶭
U+30DAF	𰶯
U+30DB0	𰶰
U+30DB1	𰶱
U+30DB2	𰶲
U+30DB3	𰶳
U+30DB4	𰶴
U+30DB5	𰶵
U+30DB6	𰶶
U+30DB7	𰶷
U+30DB8	𰶸
U+30DBA	𰶺
U+30DBC	𰶼
U+30DBD	𰶽
U+30DBF	𰶿
U+30DC1	𰷁
U+30DC5	𰷅
U+30DC9	𰷉
U+30DCD	𰷍
U+30DCE	𰷎
U+30DD0	𰷐
U+30DD3	𰷓
U+30DD5	𰷕
U+30DD6	𰷖
U+30DD9	𰷙
U+30DDA	𰷚
U+30DDE	𰷞
U+30DDF	𰷟
U+30DE0	𰷠
U+30DE1	𰷡
U+30DE2	𰷢
U+30DE3	𰷣
U+30DE4	𰷤
U+30DE5	𰷥
U+30DE6	𰷦
U+30DE7	𰷧
U+30DE8	𰷨
U+30DE9	𰷩
U+30DEA	𰷪
U+30DEB	𰷫
U+30DEC	𰷬
U+30DED	𰷭
U+30DEE	𰷮
U+30DF0	𰷰
U+30DF4	𰷴
U+30DF5	𰷵
U+30DF6	𰷶
U+30DF8	𰷸
U+30E01	𰸁
U+30E02	𰸂
U+30E03	𰸃
U+30E04	𰸄
U+30E05	𰸅
U+30E06	𰸆
U+30E07	𰸇
U+30E08	𰸈
U+30E09	𰸉
U+30E0A	𰸊
U+30E0E	𰸎
U+30E10	𰸐
U+30E11	𰸑
U+30E12	𰸒
U+30E14	𰸔
U+30E19	𰸙
U+30E1A	𰸚
U+30E1B	𰸛
U+30E1C	𰸜
U+30E1E	𰸞
U+30E20	𰸠
U+30E22	𰸢
U+30E23	𰸣
U+30E25	𰸥
U+30E26	𰸦
U+30E2A	𰸪
U+30E2B	𰸫
U+30E2C	𰸬
U+30E2E	𰸮
U+30E2F	𰸯
U+30E37	𰸷
U+30E3A	𰸺
U+30E3D	𰸽
U+30E3E	𰸾
U+30E3F	𰸿
U+30E40	𰹀
U+30E42	𰹂
U+30E43	𰹃
U+30E45	𰹅
U+30E46	𰹆
U+30E48	𰹈
U+30E4C	𰹌
U+30E4D	𰹍
U+30E50	𰹐
U+30E53	𰹓
U+30E57	𰹗
U+30E5D	𰹝
U+30E5F	𰹟
U+30E61	𰹡
U+30E63	𰹣
U+30E64	𰹤
U+30E65	𰹥
U+30E6C	𰹬
U+30E6F	𰹯
U+30E70	𰹰
U+30E71	𰹱
U+30E72	𰹲
U+30E73	𰹳
U+30E74	𰹴
U+30E75	𰹵
U+30E76	𰹶
U+30E77	𰹷
U+30E78	𰹸
U+30E79	𰹹
U+30E7A	𰹺
U+30E7B	𰹻
U+30E7C	𰹼
U+30E7D	𰹽
U+30E7E	𰹾
U+30E7F	𰹿
U+30E80	𰺀
U+30E81	𰺁
U+30E82	𰺂
U+30E83	𰺃
U+30E84	𰺄
U+30E85	𰺅
U+30E86	𰺆
U+30E87	𰺇
U+30E88	𰺈
U+30E89	𰺉
U+30E8A	𰺊
U+30E8B	𰺋
U+30E8C	𰺌
U+30E8D	𰺍
U+30E8E	𰺎
U+30E8F	𰺏
U+30E90	𰺐
U+30E91	𰺑
U+30E92	𰺒
U+30E93	𰺓
U+30E94	𰺔
U+30E95	𰺕
U+30E96	𰺖
U+30E97	𰺗
U+30E98	𰺘
U+30E99	𰺙
U+30E9A	𰺚
U+30E9B	𰺛
U+30E9C	𰺜
U+30E9D	𰺝
U+30E9E	𰺞
U+30E9F	𰺟
U+30EA0	𰺠
U+30EA1	𰺡
U+30EA2	𰺢
U+30EA3	𰺣
U+30EA4	𰺤
U+30EA5	𰺥
